run_id,k_intra,k_inter,cutoff_intra,cutoff_inter,n_edges,n_components,largest_component_frac,n_modules,largest_module_frac,singleton_gene_frac,cross_weight_frac,mixed_module_frac,human_isolated_frac,human_cross_coverage,human_median_degree,human_p95_degree,human_median_cross_strength_frac,mouse_isolated_frac,mouse_cross_coverage,mouse_median_degree,mouse_p95_degree,mouse_median_cross_strength_frac,mean_adjacent_ari,min_adjacent_ari
33,50,10,0.95,0.65,497091,724,0.9416450906193985,746,0.14326495386045277,0.044811790479984064,0.2143158424541735,0.029490616621983913,0.06371681415929203,0.8930678466076696,63.0,143.04999999999927,0.13888587471096442,0.02933719666787396,0.9180248702161052,71.0,133.0,0.12310175259375733,0.696972739711576,0.604828785042714
34,50,10,0.95,0.7,488366,1068,0.9115714001194981,1092,0.12460997145322977,0.06605589855938392,0.20408975124083295,0.018315018315018316,0.0915929203539823,0.8441002949852507,62.0,141.0,0.1279599885770047,0.0451527224435591,0.8838585053724496,71.0,133.0,0.11780985204278374,0.7617672008244419,0.6845045323190165
35,50,10,0.95,0.75,465466,1470,0.8816304852950939,1493,0.10502555931753303,0.09081856203943438,0.17383451758839769,0.010716677829872739,0.12433628318584071,0.7253687315634219,60.0,135.0,0.10333066619752099,0.0633828323071351,0.7937945188941204,69.0,130.0,0.10137458512442894,0.7258343581328166,0.6108198159586034
36,50,25,0.85,0.65,812281,184,0.9852619000199163,200,0.13722366062537344,0.011153156741684923,0.32366447529134545,0.07,0.017404129793510324,0.8930678466076696,97.0,247.0,0.23737853234145484,0.006036460219727152,0.9180248702161052,99.0,182.0,0.23625502876587076,0.6794460097267484,0.5933122734868441
37,50,25,0.85,0.7,782415,211,0.982938325698732,229,0.1471818362875921,0.01254730133439554,0.30418100600024395,0.056768558951965066,0.01902654867256637,0.8441002949852507,95.0,239.04999999999927,0.21918124762105665,0.007243752263672582,0.8838585053724496,97.0,179.0,0.2213133765923868,0.7503988090479128,0.671621089864705
38,50,25,0.85,0.75,720928,214,0.9827391621854876,234,0.15063400385049458,0.012746464847639912,0.25697397024944185,0.05128205128205128,0.019469026548672566,0.7253687315634219,86.0,215.0,0.16135713382283398,0.007243752263672582,0.7937945188941204,92.0,167.0,0.1898523057623435,0.7791263570750725,0.6398131893252547
39,50,25,0.9,0.65,772558,377,0.9705238000398327,400,0.13231096063201223,0.022970191860851093,0.34003295420299356,0.05,0.03259587020648968,0.8930678466076696,93.0,242.0,0.24932400786481979,0.01509115054931788,0.9180248702161052,97.0,180.0,0.24239627984988085,0.7435343986561637,0.6566728640824386
40,50,25,0.9,0.7,742692,513,0.9588395405961628,536,0.13722366062537344,0.030737568877381664,0.32003039875085576,0.03171641791044776,0.043510324483775814,0.8441002949852507,91.0,234.04999999999927,0.23004766563791426,0.02028250633828323,0.8838585053724496,95.0,177.0,0.22829786162967203,0.7629666681969598,0.7060047462293508
41,50,25,0.9,0.75,681205,594,0.9513377149306247,616,0.14937263493328024,0.03578304454623913,0.2713227634049738,0.021103896103896104,0.05073746312684366,0.7253687315634219,83.0,211.0,0.17094148853328983,0.023542194856935893,0.7937945188941204,90.0,166.0,0.19388565357686532,0.7874102222020651,0.6560222739834891
42,50,25,0.95,0.65,673112,724,0.9416450906193985,746,0.13370510522472284,0.044811790479984064,0.39271330066540777,0.028150134048257374,0.06371681415929203,0.8930678466076696,81.0,226.0,0.3002430074548502,0.02933719666787396,0.9180248702161052,90.0,173.0,0.265144421111295,0.7644584880595823,0.6981479127817165
43,50,25,0.95,0.7,643246,1068,0.9115714001194981,1090,0.1308504282015535,0.06605589855938392,0.3713555418071348,0.01651376146788991,0.0915929203539823,0.8441002949852507,79.0,218.0,0.27200534452777037,0.0451527224435591,0.8838585053724496,88.0,169.0,0.25149046805145475,0.7926768607393357,0.7362724178991974
44,50,25,0.95,0.75,581759,1470,0.8816304852950939,1492,0.11810396335391356,0.09081856203943438,0.3184952696673071,0.010053619302949061,0.12433628318584071,0.7253687315634219,68.0,197.0,0.21203410366030606,0.0633828323071351,0.7937945188941204,83.0,160.0,0.21295279098664244,0.789441215050018,0.7120420673719725
45,50,50,0.85,0.65,1083341,184,0.9852619000199163,202,0.1385514173803359,0.011153156741684923,0.47398854724068534,0.07425742574257425,0.017404129793510324,0.8930678466076696,124.0,391.0,0.38433466130305405,0.006036460219727152,0.9180248702161052,127.0,275.89999999999964,0.3824264528724151,0.8290679902247323,0.7161276452934561
46,50,50,0.85,0.7,1011240,211,0.982938325698732,231,0.13490008630418907,0.01254730133439554,0.44484172009894485,0.05194805194805195,0.01902654867256637,0.8441002949852507,119.0,364.0,0.3540554587241117,0.007243752263672582,0.8838585053724496,122.0,263.0,0.3585976953947023,0.7824656191900795,0.6555755852257963
47,50,50,0.85,0.75,886544,214,0.9827391621854876,232,0.1447254862909115,0.012746464847639912,0.38127321089758626,0.04741379310344827,0.019469026548672566,0.7253687315634219,99.0,325.0,0.21753207042120773,0.007243752263672582,0.7937945188941204,112.0,224.0,0.301297886339759,0.7149864265667161,0.649109544084497
48,50,50,0.9,0.65,1043618,377,0.9705238000398327,400,0.13629423089689968,0.022970191860851093,0.49242425220492614,0.045,0.03259587020648968,0.8930678466076696,121.0,387.09999999999854,0.4016508232328454,0.01509115054931788,0.9180248702161052,125.0,273.0,0.39140316131475394,0.8196574062681597,0.7008519395906084
49,50,50,0.9,0.7,971517,513,0.9588395405961628,535,0.13184624576777534,0.030737568877381664,0.4631419285372849,0.028037383177570093,0.043510324483775814,0.8441002949852507,116.0,360.0499999999993,0.36948614932113033,0.02028250633828323,0.8838585053724496,120.0,260.89999999999964,0.36831937875456244,0.7800066025910187,0.6594821832056285
50,50,50,0.9,0.75,846821,594,0.9513377149306247,615,0.12434442010223727,0.03578304454623913,0.3988370534103348,0.01951219512195122,0.05073746312684366,0.7253687315634219,95.0,322.0,0.24081314637204204,0.023542194856935893,0.7937945188941204,111.0,222.0,0.30636143933265814,0.7706714508972908,0.7028388131791192
51,50,50,0.95,0.65,944172,724,0.9416450906193985,746,0.13755559981411405,0.044811790479984064,0.5490717490104018,0.02680965147453083,0.06371681415929203,0.8930678466076696,109.0,370.09999999999854,0.4779720546406357,0.02933719666787396,0.9180248702161052,117.0,261.0,0.42224277225944346,0.7486646949760973,0.669056763597117
52,50,50,0.95,0.7,872071,1068,0.9115714001194981,1087,0.14187080926774215,0.06605589855938392,0.519871024234584,0.013799448022079117,0.0915929203539823,0.8441002949852507,104.0,350.0,0.43071669892378084,0.0451527224435591,0.8838585053724496,113.0,249.0,0.4017215402192465,0.7242919565482743,0.669056763597117
53,50,50,0.95,0.75,747375,1470,0.8816304852950939,1492,0.13317400252273784,0.09081856203943438,0.45435571111446793,0.00938337801608579,0.12433628318584071,0.7253687315634219,74.0,310.0,0.32153086905111156,0.0633828323071351,0.7937945188941204,104.0,212.89999999999964,0.3389728699323466,0.7793806652888249,0.7156910485724655
54,100,10,0.85,0.65,1083431,184,0.9852619000199163,202,0.1309168160393016,0.011153156741684923,0.09753761716400228,0.06435643564356436,0.017404129793510324,0.8930678466076696,141.0,260.0499999999993,0.060767111556817355,0.006036460219727152,0.9180248702161052,147.0,239.0,0.05923822414458286,0.7008428138915317,0.5900642131673561
55,100,10,0.85,0.7,1074706,211,0.982938325698732,231,0.14432715926442274,0.01254730133439554,0.09222951234394797,0.030303030303030304,0.01902654867256637,0.8441002949852507,140.0,259.0,0.05607069854031334,0.007243752263672582,0.8838585053724496,147.0,238.89999999999964,0.056293289892521775,0.7579830628760849,0.6568083552804485
56,100,10,0.85,0.75,1051806,214,0.9827391621854876,235,0.12148974307906792,0.012746464847639912,0.0769536516307549,0.02127659574468085,0.019469026548672566,0.7253687315634219,137.0,254.0,0.04492406770659096,0.007243752263672582,0.7937945188941204,145.0,237.0,0.048395334098647234,0.7001974638937757,0.6225523835719052
57,100,10,0.9,0.65,991292,377,0.9705238000398327,398,0.13868419305583218,0.022970191860851093,0.1059924327431573,0.04020100502512563,0.03259587020648968,0.8930678466076696,131.0,252.04999999999927,0.06533139012099848,0.01509115054931788,0.9180248702161052,141.0,235.0,0.06149614974394796,0.7937476995354343,0.7034472753134674
58,100,10,0.9,0.7,982567,513,0.9588395405961628,536,0.13835225386709155,0.030737568877381664,0.10027533289735821,0.026119402985074626,0.043510324483775814,0.8441002949852507,130.0,252.0,0.06032407376549544,0.02028250633828323,0.8838585053724496,141.0,235.0,0.058377826686755487,0.791988277803607,0.6643709018237021
59,100,10,0.9,0.75,959667,594,0.9513377149306247,617,0.13290845117174532,0.03578304454623913,0.08378985746500134,0.009724473257698542,0.05073746312684366,0.7253687315634219,128.0,247.0,0.047953695183811255,0.023542194856935893,0.7937945188941204,138.0,232.89999999999964,0.04984306402422514,0.7673629733747003,0.7052338925508858
60,100,10,0.95,0.65,768606,724,0.9416450906193985,746,0.14220274845648279,0.044811790479984064,0.13621248051490087,0.029490616621983913,0.06371681415929203,0.8930678466076696,79.0,235.04999999999927,0.09907622181402838,0.02933719666787396,0.9180248702161052,122.0,224.0,0.07091962310125546,0.7962836615338356,0.7419478681428308
61,100,10,0.95,0.7,759881,1068,0.9115714001194981,1091,0.13138153090353846,0.06605589855938392,0.12910073652481746,0.017415215398716773,0.0915929203539823,0.8441002949852507,78.0,234.0,0.07900224385943969,0.0451527224435591,0.8838585053724496,122.0,224.0,0.06735637212543968,0.7923193083030974,0.760799584047591
62,100,10,0.95,0.75,736981,1470,0.8816304852950939,1494,0.1255394011817035,0.09081856203943438,0.10844751011206141,0.010040160642570281,0.12433628318584071,0.7253687315634219,72.0,230.0,0.06153709687939999,0.0633828323071351,0.7937945188941204,120.0,222.89999999999964,0.05746862155677508,0.7663697202900018,0.721984789613928
63,100,25,0.85,0.65,1259452,184,0.9852619000199163,200,0.1704175794994357,0.011153156741684923,0.20396317119196256,0.07,0.017404129793510324,0.8930678466076696,160.0,332.0,0.1403582670737596,0.006036460219727152,0.9180248702161052,166.0,280.0,0.1373234370428571,0.7447056823257311,0.5900642131673561
64,100,25,0.85,0.7,1229586,211,0.982938325698732,228,0.1739361349000863,0.01254730133439554,0.18966463678998452,0.05263157894736842,0.01902654867256637,0.8441002949852507,158.0,326.0499999999993,0.1278080203555511,0.007243752263672582,0.8838585053724496,164.0,278.0,0.12812200124918766,0.7702100858532263,0.6876612117417015
65,100,25,0.85,0.75,1168099,214,0.9827391621854876,234,0.15999468897298014,0.012746464847639912,0.1562392618680715,0.04700854700854701,0.019469026548672566,0.7253687315634219,149.0,308.0,0.09181266931973073,0.007243752263672582,0.7937945188941204,158.0,268.0,0.10730739901623436,0.7883008642090937,0.6623108313872595
66,100,25,0.9,0.65,1167313,377,0.9705238000398327,399,0.1617207727544314,0.022970191860851093,0.21940045372624112,0.047619047619047616,0.03259587020648968,0.8930678466076696,150.0,325.0,0.15141059498781526,0.01509115054931788,0.9180248702161052,160.0,275.0,0.14300181916382265,0.7811742922536876,0.7264367559246262
