gene,species
mouse:Rps3,mouse
mouse:Nr3c1,mouse
mouse:Rala,mouse
mouse:Spred1,mouse
mouse:Rps13,mouse
mouse:Ywhaz,mouse
mouse:Txn1,mouse
mouse:Ctdsp2,mouse
mouse:Eif4g1,mouse
mouse:Chtop,mouse
mouse:Ppp2cb,mouse
mouse:Ppp1ca,mouse
mouse:Sox9,mouse
mouse:Myh7,mouse
mouse:Prpf40a,mouse
mouse:Hnrnph1,mouse
mouse:Hnrnpf,mouse
mouse:Hnrnph2,mouse
mouse:Pabpn1,mouse
mouse:Txlnb,mouse
mouse:Gldc,mouse
mouse:Rbp4,mouse
mouse:Fdps,mouse
mouse:Pnisr,mouse
mouse:Pnn,mouse
mouse:Prodh2,mouse
mouse:Sall2,mouse
mouse:Aldob,mouse
mouse:Fam168b,mouse
mouse:Drap1,mouse
mouse:Sptbn1,mouse
mouse:Pkp1,mouse
mouse:Uba1,mouse
mouse:Mymk,mouse
mouse:Ipo7,mouse
mouse:Rtf1,mouse
mouse:Pttg1ip,mouse
mouse:Rbm8a,mouse
mouse:Ube2d3,mouse
mouse:Pcbp2,mouse
mouse:Pcbp1,mouse
mouse:Stip1,mouse
mouse:Rbm22,mouse
mouse:Tpm1,mouse
mouse:Aurka,mouse
mouse:Eif5,mouse
mouse:Fbll1,mouse
mouse:Pa2g4,mouse
mouse:Hnrnpa0,mouse
mouse:Phgdh,mouse
mouse:Fzd7,mouse
mouse:Plxdc2,mouse
mouse:Srsf7,mouse
mouse:Gnb1,mouse
mouse:Prmt1,mouse
mouse:Smad1,mouse
mouse:Nutf2,mouse
mouse:Ewsr1,mouse
mouse:Rab6a,mouse
mouse:G3bp2,mouse
mouse:Numa1,mouse
mouse:Hpf1,mouse
mouse:Cdh15,mouse
mouse:Sptbn2,mouse
mouse:Ubxn1,mouse
mouse:Srsf5,mouse
mouse:Ablim3,mouse
mouse:Hnrnpul1,mouse
mouse:Cmpk1,mouse
mouse:Ap2s1,mouse
mouse:Spint2,mouse
mouse:Rab1a,mouse
mouse:Sf3b2,mouse
mouse:Tmeff1,mouse
mouse:Paip1,mouse
mouse:Ptp4a1,mouse
mouse:Myh9,mouse
mouse:Thap12,mouse
mouse:Sec62,mouse
mouse:Hnrnpc,mouse
mouse:Hpd,mouse
mouse:Esd,mouse
mouse:Hnf4a,mouse
mouse:Acaa2,mouse
mouse:Fah,mouse
mouse:Prdx4,mouse
mouse:Nop53,mouse
mouse:Angptl3,mouse
mouse:Fgg,mouse
mouse:Hsp90b1,mouse
mouse:Lpl,mouse
mouse:Snrnp200,mouse
mouse:Rtn1,mouse
mouse:Smad5,mouse
mouse:Cxcl14,mouse
mouse:Cat,mouse
mouse:Gsk3b,mouse
mouse:Stag1,mouse
mouse:E2f4,mouse
mouse:Hp1bp3,mouse
mouse:Tia1,mouse
mouse:Pde4dip,mouse
mouse:Mgat4c,mouse
mouse:Lin7c,mouse
mouse:Fkbp3,mouse
mouse:P3h4,mouse
mouse:Tm9sf3,mouse
mouse:Plxnc1,mouse
mouse:Stx1b,mouse
mouse:Efs,mouse
mouse:Sp3,mouse
mouse:Cand1,mouse
mouse:Pdap1,mouse
mouse:Cdca4,mouse
mouse:Acap3,mouse
mouse:Uqcrfs1,mouse
mouse:Arid1a,mouse
mouse:Etl4,mouse
mouse:Ywhab,mouse
mouse:Srl,mouse
mouse:Ttc28,mouse
mouse:Zmiz1,mouse
mouse:Grhpr,mouse
mouse:Hs6st2,mouse
mouse:Cyc1,mouse
mouse:Phf14,mouse
mouse:Pnrc2,mouse
mouse:Magi2,mouse
mouse:Nt5dc2,mouse
mouse:Filip1,mouse
mouse:Pcca,mouse
mouse:Xpo1,mouse
mouse:Ywhah,mouse
mouse:Itm2b,mouse
mouse:Rpn2,mouse
mouse:Prr36,mouse
mouse:Zfp618,mouse
mouse:Tbc1d30,mouse
mouse:Cd248,mouse
mouse:Uhrf1,mouse
mouse:Sult1b1,mouse
mouse:Flna,mouse
mouse:Prickle1,mouse
mouse:Ylpm1,mouse
mouse:Slc27a2,mouse
mouse:Gon4l,mouse
mouse:Kifap3,mouse
mouse:Fbln1,mouse
mouse:Fbn2,mouse
mouse:Fbxo11,mouse
mouse:Fbxo44,mouse
mouse:Tbx2,mouse
mouse:Arl4c,mouse
mouse:Mtx2,mouse
mouse:Grcc10,mouse
mouse:Vkorc1,mouse
mouse:Arl4d,mouse
mouse:Jpt2,mouse
mouse:Eif4ebp1,mouse
mouse:Zswim5,mouse
mouse:Ptp4a2,mouse
mouse:Ndufaf3,mouse
mouse:Lmnb1,mouse
mouse:Scoc,mouse
mouse:Zmym2,mouse
mouse:Pou2f1,mouse
mouse:Midn,mouse
mouse:Dync1li2,mouse
mouse:Top2a,mouse
mouse:Myom2,mouse
mouse:Rnaseh2c,mouse
mouse:Gdi2,mouse
mouse:Prdm16,mouse
mouse:Plcxd3,mouse
mouse:Tgm2,mouse
mouse:Nipbl,mouse
mouse:Insm1,mouse
mouse:Aspm,mouse
mouse:Mex3b,mouse
mouse:Fmo1,mouse
mouse:Wnk1,mouse
mouse:Klc2,mouse
mouse:Lmnb2,mouse
mouse:Gtf2a1,mouse
mouse:Emilin1,mouse
mouse:Dyrk2,mouse
mouse:Podxl,mouse
mouse:Snrpa,mouse
mouse:Puf60,mouse
mouse:Lpgat1,mouse
mouse:Tmem263,mouse
mouse:Rasl11b,mouse
mouse:Chkb,mouse
mouse:Cdk16,mouse
mouse:Sypl2,mouse
mouse:Trim37,mouse
mouse:Meis3,mouse
mouse:Rnf10,mouse
mouse:Qser1,mouse
mouse:Mllt11,mouse
mouse:Gmfb,mouse
mouse:Psd2,mouse
mouse:Bri3,mouse
mouse:Agap3,mouse
mouse:Xpo4,mouse
mouse:Jph3,mouse
mouse:Lpp,mouse
mouse:Hmox1,mouse
mouse:Ilf3,mouse
mouse:Slc2a1,mouse
mouse:Ddah1,mouse
mouse:Bptf,mouse
mouse:Nr2e1,mouse
mouse:Son,mouse
mouse:Phldb2,mouse
mouse:Psip1,mouse
mouse:Megf10,mouse
mouse:Rasgef1b,mouse
mouse:Cdv3,mouse
mouse:Marcks,mouse
mouse:Sox6,mouse
mouse:Nt5c2,mouse
mouse:Cdt1,mouse
mouse:Limch1,mouse
mouse:Glrx,mouse
mouse:Colq,mouse
mouse:Mllt3,mouse
mouse:Dicer1,mouse
mouse:Ptprn,mouse
mouse:Tesc,mouse
mouse:Slc22a23,mouse
mouse:Lmo4,mouse
mouse:Zcchc24,mouse
mouse:Ciapin1,mouse
mouse:Tbl1xr1,mouse
mouse:Zfp281,mouse
mouse:Adgrg1,mouse
mouse:Orc4,mouse
mouse:Hnrnpu,mouse
mouse:Epha7,mouse
mouse:Ptprn2,mouse
mouse:Tnik,mouse
mouse:Lman1,mouse
mouse:Rab11a,mouse
mouse:Rbm20,mouse
mouse:Kif3a,mouse
mouse:Sh3glb1,mouse
mouse:Pcdh10,mouse
mouse:Fgfr2,mouse
mouse:Rab18,mouse
mouse:Cbx5,mouse
mouse:Rbm26,mouse
mouse:Serbp1,mouse
mouse:Scrt2,mouse
mouse:Dync1li1,mouse
mouse:Slc25a37,mouse
mouse:Fyttd1,mouse
mouse:Tagln3,mouse
mouse:Vamp5,mouse
mouse:Shh,mouse
mouse:Pcdh19,mouse
mouse:Wdr26,mouse
mouse:Ehbp1,mouse
mouse:Rpl27,mouse
mouse:Rab4a,mouse
mouse:Rps2,mouse
mouse:Plod1,mouse
mouse:Serp1,mouse
mouse:Lcor,mouse
mouse:Rpl13a,mouse
mouse:Ext1,mouse
mouse:Hoxa9,mouse
mouse:S100a16,mouse
mouse:Msl1,mouse
mouse:Mat2a,mouse
mouse:Sumo1,mouse
mouse:Lrrc4c,mouse
mouse:Nucks1,mouse
mouse:Sar1a,mouse
mouse:Pgam1,mouse
mouse:Acat1,mouse
mouse:Cavin1,mouse
mouse:Nck2,mouse
mouse:Zfhx3,mouse
mouse:Fkbp14,mouse
mouse:Hnrnpab,mouse
mouse:Slc13a5,mouse
mouse:Timm13,mouse
mouse:Nupr1,mouse
mouse:Slc41a1,mouse
mouse:Habp2,mouse
mouse:Sst,mouse
mouse:Cnot7,mouse
mouse:Hipk3,mouse
mouse:Laptm4b,mouse
mouse:Hhip,mouse
mouse:Slc14a1,mouse
mouse:Yod1,mouse
mouse:Tmed10,mouse
mouse:Ppp1cc,mouse
mouse:Arhgap21,mouse
mouse:Eef1e1,mouse
mouse:Malsu1,mouse
mouse:Rbms1,mouse
mouse:Mn1,mouse
mouse:Arl8a,mouse
mouse:Ola1,mouse
mouse:Rpl31,mouse
mouse:Slc40a1,mouse
mouse:Fezf2,mouse
mouse:Nr5a1,mouse
mouse:Fgf12,mouse
mouse:Fgf13,mouse
mouse:Fgfrl1,mouse
mouse:Tmem178b,mouse
mouse:Grip2,mouse
mouse:Mycl,mouse
mouse:Dsp,mouse
mouse:Cited1,mouse
mouse:Sybu,mouse
mouse:Cntn5,mouse
mouse:Wiz,mouse
mouse:F10,mouse
mouse:Psat1,mouse
mouse:Cfdp1,mouse
mouse:Ankrd12,mouse
mouse:Atad2,mouse
mouse:Tk1,mouse
mouse:Rsf1,mouse
mouse:Phf20l1,mouse
mouse:Gnai2,mouse
mouse:Zfp36l2,mouse
mouse:Twsg1,mouse
mouse:Slc20a2,mouse
mouse:Rbm38,mouse
mouse:Dtx3,mouse
mouse:Ahnak,mouse
mouse:Pbx1,mouse
mouse:Myot,mouse
mouse:Bcan,mouse
mouse:Sash1,mouse
mouse:Ror1,mouse
mouse:Aldh8a1,mouse
mouse:Entpd3,mouse
mouse:Sox1,mouse
mouse:Gpr137c,mouse
mouse:Zfp644,mouse
mouse:Sh3rf1,mouse
mouse:Lcorl,mouse
mouse:Slc43a1,mouse
mouse:Trp53i11,mouse
mouse:Ugp2,mouse
mouse:Baz1b,mouse
mouse:Fibp,mouse
mouse:Vegfd,mouse
mouse:Rpl5,mouse
mouse:Fkbp1a,mouse
mouse:Mmp9,mouse
mouse:Mdh1,mouse
mouse:Shroom2,mouse
mouse:Mfap4,mouse
mouse:Grn,mouse
mouse:Pcolce,mouse
mouse:Tnrc6c,mouse
mouse:G3bp1,mouse
mouse:Efhd1,mouse
mouse:Pcdh18,mouse
mouse:Man1a2,mouse
mouse:Nrsn1,mouse
mouse:Trak2,mouse
mouse:Tesk1,mouse
mouse:Tubb4a,mouse
mouse:Tmem50a,mouse
mouse:Slain1,mouse
mouse:Uaca,mouse
mouse:Naa38,mouse
mouse:Pianp,mouse
mouse:Tsc22d1,mouse
mouse:Tspan3,mouse
mouse:Ctxn2,mouse
mouse:Itm2c,mouse
mouse:Mapre3,mouse
mouse:Kidins220,mouse
mouse:Zic4,mouse
mouse:Clpp,mouse
mouse:Csnk1e,mouse
mouse:Npdc1,mouse
mouse:Mlf2,mouse
mouse:Ppfia2,mouse
mouse:Ap1s2,mouse
mouse:Lin7b,mouse
mouse:Gypc,mouse
mouse:Use1,mouse
mouse:Slc6a1,mouse
mouse:Stxbp1,mouse
mouse:Lrrc4,mouse
mouse:Atl1,mouse
mouse:Sema6a,mouse
mouse:Sdhb,mouse
mouse:AI593442,mouse
mouse:Ppp3ca,mouse
mouse:Plp2,mouse
mouse:Nell2,mouse
mouse:Snn,mouse
mouse:Trim9,mouse
mouse:Tcea1,mouse
mouse:Neurod2,mouse
mouse:Madd,mouse
mouse:Utp11,mouse
mouse:Myl1,mouse
mouse:Mrpl40,mouse
mouse:Cttnbp2,mouse
mouse:Kif2a,mouse
mouse:Ube2ql1,mouse
mouse:Ttyh3,mouse
mouse:Ncam1,mouse
mouse:Gphn,mouse
mouse:Gabrb2,mouse
mouse:Mylk,mouse
mouse:Sez6,mouse
mouse:Scg2,mouse
mouse:Amer3,mouse
mouse:Pop7,mouse
mouse:Meaf6,mouse
mouse:Gna13,mouse
mouse:Lsm7,mouse
mouse:Col4a1,mouse
mouse:Mxra8,mouse
mouse:Bcat1,mouse
mouse:Ubac1,mouse
mouse:Hoxb8,mouse
mouse:Foxj1,mouse
mouse:Stradb,mouse
mouse:Myo1c,mouse
mouse:Ctdsp1,mouse
mouse:Lyve1,mouse
mouse:Zfp292,mouse
mouse:Pde4b,mouse
mouse:Mbnl2,mouse
mouse:Lzts2,mouse
mouse:Eif2ak1,mouse
mouse:Glg1,mouse
mouse:Musk,mouse
mouse:Nectin3,mouse
mouse:Perp,mouse
mouse:S100a14,mouse
mouse:S100a13,mouse
mouse:Plxnb2,mouse
mouse:Cox7b,mouse
mouse:Ddx6,mouse
mouse:Uqcr11,mouse
mouse:Hoxd11,mouse
mouse:Rapgef5,mouse
mouse:Fbn1,mouse
mouse:Emx2,mouse
mouse:Dync1h1,mouse
mouse:Ppme1,mouse
mouse:Tanc2,mouse
mouse:Heyl,mouse
mouse:Slc38a5,mouse
mouse:Satb1,mouse
mouse:Arpc2,mouse
mouse:Lrp1,mouse
mouse:Jdp2,mouse
mouse:Ppp1r1c,mouse
mouse:Polr2e,mouse
mouse:Fkbp10,mouse
mouse:Foxa1,mouse
mouse:Foxd2,mouse
mouse:Plin3,mouse
mouse:Mkrn1,mouse
mouse:Smyd1,mouse
mouse:Tmem35a,mouse
mouse:Clstn1,mouse
mouse:Myh3,mouse
mouse:Foxd1,mouse
mouse:Foxf2,mouse
mouse:Foxl2,mouse
mouse:Foxo1,mouse
mouse:Foxp1,mouse
mouse:Ptgfr,mouse
mouse:Gli3,mouse
mouse:Supt16,mouse
mouse:Bmp1,mouse
mouse:Frmd5,mouse
mouse:Pcp4,mouse
mouse:Fscn1,mouse
mouse:Tnnc2,mouse
mouse:Slc9a6,mouse
mouse:Nr1h4,mouse
mouse:Fxyd1,mouse
mouse:Fyn,mouse
mouse:Fzd4,mouse
mouse:Fzd3,mouse
mouse:Fzd8,mouse
mouse:Bud31,mouse
mouse:Gng3,mouse
mouse:Hspa12b,mouse
mouse:Gabarap,mouse
mouse:Gad1,mouse
mouse:Gad2,mouse
mouse:Gadd45a,mouse
mouse:Gadd45g,mouse
mouse:Gal,mouse
mouse:Galnt17,mouse
mouse:Gnai3,mouse
mouse:Gnao1,mouse
mouse:Gnal,mouse
mouse:Gnaq,mouse
mouse:Gnas,mouse
mouse:Gnaz,mouse
mouse:Tac1,mouse
mouse:Gas2,mouse
mouse:Wfikkn2,mouse
mouse:Gata2,mouse
mouse:Cfi,mouse
mouse:Ldlrad4,mouse
mouse:Nr0b2,mouse
mouse:Shtn1,mouse
mouse:Ncor2,mouse
mouse:Tmsb10,mouse
mouse:Tmem74b,mouse
mouse:Smad4,mouse
mouse:Trir,mouse
mouse:Rora,mouse
mouse:Nexmif,mouse
mouse:Cipc,mouse
mouse:Jcad,mouse
mouse:Faxc,mouse
mouse:Lrrc73,mouse
mouse:Gcg,mouse
mouse:Ccndbp1,mouse
mouse:Mstn,mouse
mouse:Mmp2,mouse
mouse:Ggt1,mouse
mouse:Ghr,mouse
mouse:Glcci1,mouse
mouse:Gclm,mouse
mouse:Gxylt2,mouse
mouse:Gltpd2,mouse
mouse:Gria1,mouse
mouse:Gria2,mouse
mouse:Gria3,mouse
mouse:Gria4,mouse
mouse:Grid2,mouse
mouse:Slc2a2,mouse
mouse:Glrx5,mouse
mouse:Slc6a9,mouse
mouse:Rack1,mouse
mouse:Gnb4,mouse
mouse:Gnb5,mouse
mouse:Gng11,mouse
mouse:Gng12,mouse
mouse:Gns,mouse
mouse:Slc24a5,mouse
mouse:Golga7b,mouse
mouse:Golim4,mouse
mouse:Mbtps1,mouse
mouse:Il6st,mouse
mouse:Lrp2,mouse
mouse:Gpc1,mouse
mouse:Gpc6,mouse
mouse:Adgra2,mouse
mouse:Adgra3,mouse
mouse:Stx7,mouse
mouse:Gpr161,mouse
mouse:Adgrg2,mouse
mouse:Adgrv1,mouse
mouse:Grhl2,mouse
mouse:Hey2,mouse
mouse:Grik2,mouse
mouse:Grin2b,mouse
mouse:Grina,mouse
mouse:Grm5,mouse
mouse:Grm8,mouse
mouse:Glrx3,mouse
mouse:Gsx2,mouse
mouse:Gspt1,mouse
mouse:Gucy1b1,mouse
mouse:Guk1,mouse
mouse:Hsd17b10,mouse
mouse:Hadh,mouse
mouse:Spint1,mouse
mouse:Copb1,mouse
mouse:Hp,mouse
mouse:Ush1c,mouse
mouse:Hpx,mouse
mouse:Lamtor5,mouse
mouse:Serpind1,mouse
mouse:Spats2l,mouse
mouse:Hdgfl3,mouse
mouse:Tcf7l1,mouse
mouse:Hspa8,mouse
mouse:Hecw1,mouse
mouse:Hes6,mouse
mouse:Myf6,mouse
mouse:Hif1a,mouse
mouse:Hif3a,mouse
mouse:Hmbs,mouse
mouse:Hmgb1,mouse
mouse:Hmgb2,mouse
mouse:Hmgcr,mouse
mouse:Nsg2,mouse
mouse:Ndufb5,mouse
mouse:Sfpq,mouse
mouse:Dctn6,mouse
mouse:Sparc,mouse
mouse:Chchd6,mouse
mouse:Ddx17,mouse
mouse:Sfrp2,mouse
mouse:Srsf2,mouse
mouse:Ybx1,mouse
mouse:Pfn2,mouse
mouse:Rps27a,mouse
mouse:Kpna2,mouse
mouse:Dnajc8,mouse
mouse:Ranbp1,mouse
mouse:Tfdp1,mouse
mouse:Ttn,mouse
mouse:Lrrfip1,mouse
mouse:Prdx1,mouse
mouse:Tnni3,mouse
mouse:Tnni2,mouse
mouse:Irx3,mouse
mouse:S100a10,mouse
mouse:Apex1,mouse
mouse:Bhmt,mouse
mouse:Bhmt2,mouse
mouse:Vcl,mouse
mouse:Nsfl1c,mouse
mouse:Jpt1,mouse
mouse:Hnrnpa1,mouse
mouse:Hnrnpa3,mouse
mouse:Hnrnpdl,mouse
mouse:Hnrnpk,mouse
mouse:Mef2c,mouse
mouse:Tlx2,mouse
mouse:Hoxb6,mouse
mouse:Hoxa10,mouse
mouse:Hoxa11,mouse
mouse:Hoxb3,mouse
mouse:Hoxc10,mouse
mouse:Hoxd10,mouse
mouse:Hoxd9,mouse
mouse:Rad23b,mouse
mouse:Prmt2,mouse
mouse:Hsbp1,mouse
mouse:Hsph1,mouse
mouse:Hsp90ab1,mouse
mouse:Ier3ip1,mouse
mouse:Htra1,mouse
mouse:Clns1a,mouse
mouse:Cxxc4,mouse
mouse:Mrpl47,mouse
mouse:Ssbp3,mouse
mouse:Wwp2,mouse
mouse:Nova2,mouse
mouse:Rgma,mouse
mouse:Sox3,mouse
mouse:Evl,mouse
mouse:Slc4a4,mouse
mouse:Foxp4,mouse
mouse:Pmp22,mouse
mouse:Nrp2,mouse
mouse:Papss2,mouse
mouse:Enah,mouse
mouse:Zfand5,mouse
mouse:Tsn,mouse
mouse:Gnl3,mouse
mouse:Zfp106,mouse
mouse:Mab21l2,mouse
mouse:Mast1,mouse
mouse:Itgb1bp2,mouse
mouse:Fgf3,mouse
mouse:Xkr4,mouse
mouse:Gas1,mouse
mouse:Itih2,mouse
mouse:Aff3,mouse
mouse:Nid1,mouse
mouse:Sox5,mouse
mouse:Foxc1,mouse
mouse:Fras1,mouse
mouse:Dennd5b,mouse
mouse:Snx5,mouse
mouse:Skp2,mouse
mouse:Pou2f2,mouse
mouse:Syne2,mouse
mouse:Fabp2,mouse
mouse:Ifitm1,mouse
mouse:Ifitm2,mouse
mouse:Igf1,mouse
mouse:Igfbp2,mouse
mouse:Igfbp3,mouse
mouse:Igfbp5,mouse
mouse:Igf1r,mouse
mouse:Cadm2,mouse
mouse:Dzip1,mouse
mouse:Ikzf1,mouse
mouse:Rsrc2,mouse
mouse:Rbpj,mouse
mouse:Sf3b3,mouse
mouse:Naca,mouse
mouse:Gng5,mouse
mouse:Set,mouse
mouse:Ppp1cb,mouse
mouse:Rpa2,mouse
mouse:Ppp2r1a,mouse
mouse:Dhx15,mouse
mouse:Ccni,mouse
mouse:Mff,mouse
mouse:Ctnna2,mouse
mouse:Ctnna3,mouse
mouse:Denr,mouse
mouse:Ubb,mouse
mouse:Praf2,mouse
mouse:Pfdn2,mouse
mouse:Sncg,mouse
mouse:Uqcrb,mouse
mouse:Mrpl34,mouse
mouse:Siva1,mouse
mouse:Gpx7,mouse
mouse:Cav3,mouse
mouse:Neb,mouse
mouse:Ubfd1,mouse
mouse:Fis1,mouse
mouse:Snx22,mouse
mouse:Rps16,mouse
mouse:Fbln2,mouse
mouse:Fdx1,mouse
mouse:Rpa3,mouse
mouse:Capn2,mouse
mouse:Snrpd2,mouse
mouse:Gps1,mouse
mouse:Rsph1,mouse
mouse:Fnta,mouse
mouse:Psmb4,mouse
mouse:Tril,mouse
mouse:Lyrm2,mouse
mouse:Psma3,mouse
mouse:Fmod,mouse
mouse:Acp1,mouse
mouse:Srpx,mouse
mouse:Mrps10,mouse
mouse:Mrpl33,mouse
mouse:Atl3,mouse
mouse:Pdzd4,mouse
mouse:Necab2,mouse
mouse:Itgb8,mouse
mouse:Eif5b,mouse
mouse:Ubc,mouse
mouse:Prkar1a,mouse
mouse:Cobl,mouse
mouse:Loxl2,mouse
mouse:Rai14,mouse
mouse:Marveld1,mouse
mouse:Srrm4,mouse
mouse:Map6,mouse
mouse:Dok4,mouse
mouse:Myl4,mouse
mouse:Pfkm,mouse
mouse:Ube2c,mouse
mouse:Shisa9,mouse
mouse:Rp9,mouse
mouse:Rbx1,mouse
mouse:Matn4,mouse
mouse:Fndc3b,mouse
mouse:Ryr1,mouse
mouse:Cilp,mouse
mouse:Top2b,mouse
mouse:Sall3,mouse
mouse:Nbea,mouse
mouse:Gtf3c4,mouse
mouse:Pnpo,mouse
mouse:Gnb2,mouse
mouse:Cpn2,mouse
mouse:Plbd1,mouse
mouse:Flnc,mouse
mouse:Spock3,mouse
mouse:Vbp1,mouse
mouse:Spata18,mouse
mouse:Ska2,mouse
mouse:Cenpf,mouse
mouse:Pcsk6,mouse
mouse:Pgm2l1,mouse
mouse:Brwd1,mouse
mouse:Sgca,mouse
mouse:Ube3a,mouse
mouse:Ssrp1,mouse
mouse:Nup210,mouse
mouse:Fgfbp3,mouse
mouse:Svil,mouse
mouse:Commd9,mouse
mouse:Mal,mouse
mouse:Snrpa1,mouse
mouse:Chd4,mouse
mouse:Ckap5,mouse
mouse:Inpp5f,mouse
mouse:Paxx,mouse
mouse:Nrxn3,mouse
mouse:Trim55,mouse
mouse:Fermt2,mouse
mouse:Phip,mouse
mouse:Atp13a2,mouse
mouse:Pnkd,mouse
mouse:Nptxr,mouse
mouse:Col4a6,mouse
mouse:Stard13,mouse
mouse:Spen,mouse
mouse:Kmt2a,mouse
mouse:Fhod1,mouse
mouse:Snrpb2,mouse
mouse:Rufy3,mouse
mouse:Spock2,mouse
mouse:Trip12,mouse
mouse:Ncapg,mouse
mouse:Lsm11,mouse
mouse:Pygm,mouse
mouse:Fam169a,mouse
mouse:Naa20,mouse
mouse:Prob1,mouse
mouse:Mlip,mouse
mouse:Stra6,mouse
mouse:Prkra,mouse
mouse:Myo5a,mouse
mouse:Prune2,mouse
mouse:Wnk3,mouse
mouse:Fam120a,mouse
mouse:Iqgap1,mouse
mouse:Obsl1,mouse
mouse:Psmg3,mouse
mouse:Agxt2,mouse
mouse:Ptbp2,mouse
mouse:Pard3b,mouse
mouse:Snx10,mouse
mouse:Thoc7,mouse
mouse:Fermt3,mouse
mouse:Comp,mouse
mouse:Mprip,mouse
mouse:Hmx1,mouse
mouse:Epb41l1,mouse
mouse:Vstm4,mouse
mouse:Ehbp1l1,mouse
mouse:Plk2,mouse
mouse:Synpo2,mouse
mouse:Cmbl,mouse
mouse:Tbr1,mouse
mouse:Spock1,mouse
mouse:Rcn1,mouse
mouse:Ndufaf4,mouse
mouse:Smc1a,mouse
mouse:Fmn2,mouse
mouse:Vsnl1,mouse
mouse:Zfhx4,mouse
mouse:Prkg1,mouse
mouse:Polr1d,mouse
mouse:Chchd1,mouse
mouse:Itgb6,mouse
mouse:Eya4,mouse
mouse:Inpp4a,mouse
mouse:Irx1,mouse
mouse:Irx5,mouse
mouse:Mkx,mouse
mouse:Isl1,mouse
mouse:Isl2,mouse
mouse:Itch,mouse
mouse:Itga11,mouse
mouse:Itih1,mouse
mouse:Itih3,mouse
mouse:Cops5,mouse
mouse:Kcnj13,mouse
mouse:Jam3,mouse
mouse:Kdm6b,mouse
mouse:Mapk8,mouse
mouse:Mapk10,mouse
mouse:Jph1,mouse
mouse:Kcnk10,mouse
mouse:Tnpo1,mouse
mouse:Klhl31,mouse
mouse:Klhl40,mouse
mouse:Slc12a5,mouse
mouse:Kcnb2,mouse
mouse:Kcnh7,mouse
mouse:Kcnj1,mouse
mouse:Kcnj16,mouse
mouse:Kcnk2,mouse
mouse:Kcnma1,mouse
mouse:Kcnmb2,mouse
mouse:Kcnq5,mouse
mouse:Kdr,mouse
mouse:Med12l,mouse
mouse:Zeb1,mouse
mouse:Pclaf,mouse
mouse:Dpy19l1,mouse
mouse:Kif26b,mouse
mouse:Kif3c,mouse
mouse:Kif5a,mouse
mouse:Klf3,mouse
mouse:Klf4,mouse
mouse:Klf5,mouse
mouse:Klf7,mouse
mouse:Klf1,mouse
mouse:Klhl24,mouse
mouse:Enc1,mouse
mouse:Dynlrb1,mouse
mouse:L1cam,mouse
mouse:Rpsa,mouse
mouse:Lsamp,mouse
mouse:Map1lc3b,mouse
mouse:Med19,mouse
mouse:Ldb2,mouse
mouse:Ldha,mouse
mouse:Ldhb,mouse
mouse:Kctd12,mouse
mouse:P3h1,mouse
mouse:P3h3,mouse
mouse:Zc3h15,mouse
mouse:Plod2,mouse
mouse:Lhfpl2,mouse
mouse:Lhfpl4,mouse
mouse:Lhx6,mouse
mouse:Lhx1,mouse
mouse:Lhx5,mouse
mouse:Tunar,mouse
mouse:Lingo1,mouse
mouse:Lingo2,mouse
mouse:Lipc,mouse
mouse:Anxa1,mouse
mouse:Pafah1b1,mouse
mouse:Slc12a2,mouse
mouse:Slc39a6,mouse
mouse:Lmo3,mouse
mouse:Agap2,mouse
mouse:Ilk,mouse
mouse:Adamts9,mouse
mouse:Ndufc1,mouse
mouse:Lox,mouse
mouse:Adgrl1,mouse
mouse:Adgrl3,mouse
mouse:Plpp3,mouse
mouse:Plppr2,mouse
mouse:Plppr3,mouse
mouse:Plppr4,mouse
mouse:Plppr5,mouse
mouse:Lrp1b,mouse
mouse:Lrrc38,mouse
mouse:Lrrn3,mouse
mouse:Lum,mouse
mouse:Smad3,mouse
mouse:Maf1,mouse
mouse:Ndn,mouse
mouse:Maged1,mouse
mouse:Magee1,mouse
mouse:Maged2,mouse
mouse:Magoh,mouse
mouse:Magohb,mouse
mouse:Naa50,mouse
mouse:Mdga2,mouse
mouse:Maml2,mouse
mouse:Smim24,mouse
mouse:Map7d2,mouse
mouse:Mapk8ip1,mouse
mouse:Lamtor3,mouse
mouse:Mapre1,mouse
mouse:St14,mouse
mouse:Mob1a,mouse
mouse:Mcf2l,mouse
mouse:Mcm5,mouse
mouse:Slc16a10,mouse
mouse:Megf6,mouse
mouse:Map2k1,mouse
mouse:Meox2,mouse
mouse:Metap2,mouse
mouse:Rps8,mouse
mouse:Rpl14,mouse
mouse:Mgarp,mouse
mouse:Mgat3,mouse
mouse:Uqcrq,mouse
mouse:Osr1,mouse
mouse:Rbm42,mouse
mouse:Ccdc28b,mouse
mouse:Mgst1,mouse
mouse:Mgst3,mouse
mouse:Myl2,mouse
mouse:Myl9,mouse
mouse:Kmt2e,mouse
mouse:Afdn,mouse
mouse:Ppox,mouse
mouse:Mob4,mouse
mouse:Msn,mouse
mouse:Paqr8,mouse
mouse:Bccip,mouse
mouse:Mrap,mouse
mouse:Mras,mouse
mouse:Abcc2,mouse
mouse:Mrpl57,mouse
mouse:Stk3,mouse
mouse:Stk26,mouse
mouse:Mt2,mouse
mouse:Mtmr7,mouse
mouse:Trim54,mouse
mouse:Cops9,mouse
mouse:Myh7b,mouse
