gene,species
mouse:Erh,mouse
mouse:Erbb3,mouse
mouse:Erbb4,mouse
mouse:Erg,mouse
mouse:Mapk1,mouse
mouse:Mapk6,mouse
mouse:Mapk4,mouse
mouse:Pdia3,mouse
mouse:Esrrg,mouse
mouse:Mycbp2,mouse
mouse:Hic1,mouse
mouse:Ctsd,mouse
mouse:Snap25,mouse
mouse:Nras,mouse
mouse:Rarg,mouse
mouse:Pdgfra,mouse
mouse:Tnc,mouse
mouse:Myod1,mouse
mouse:Gata1,mouse
mouse:Pax9,mouse
mouse:Jak1,mouse
mouse:Ina,mouse
mouse:Fgfr4,mouse
mouse:Rara,mouse
mouse:Wnt2,mouse
mouse:Hoxb5,mouse
mouse:Otx2,mouse
mouse:Lef1,mouse
mouse:Tbx5,mouse
mouse:Igf2,mouse
mouse:Timp2,mouse
mouse:Ctsk,mouse
mouse:Hcfc1,mouse
mouse:Tmpo,mouse
mouse:Mecom,mouse
mouse:Evpl,mouse
mouse:Eny2,mouse
mouse:F13a1,mouse
mouse:Banf1,mouse
mouse:Ckap2l,mouse
mouse:Sgcb,mouse
mouse:Mfap2,mouse
mouse:Map4k4,mouse
mouse:Hmgn3,mouse
mouse:Tnfrsf19,mouse
mouse:Prpf38a,mouse
mouse:Foxa3,mouse
mouse:Pacsin3,mouse
mouse:Tns1,mouse
mouse:Zfp462,mouse
mouse:Atf7ip,mouse
mouse:Srsf6,mouse
mouse:Pomp,mouse
mouse:Vdac1,mouse
mouse:Notch3,mouse
mouse:Ptpn11,mouse
mouse:Zfp395,mouse
mouse:C1qbp,mouse
mouse:Eif3m,mouse
mouse:Boc,mouse
mouse:Ap2b1,mouse
mouse:Mtus1,mouse
mouse:2310022B05Rik,mouse
mouse:Khdrbs1,mouse
mouse:Hmgb3,mouse
mouse:Mrps34,mouse
mouse:Otub1,mouse
mouse:Sec61b,mouse
mouse:Slc25a4,mouse
mouse:Hmgn2,mouse
mouse:Meis2,mouse
mouse:Tpt1,mouse
mouse:Sae1,mouse
mouse:Brd3,mouse
mouse:Fmnl2,mouse
mouse:Ncs1,mouse
mouse:Map2k2,mouse
mouse:Lamp1,mouse
mouse:Dlg3,mouse
mouse:Eva1b,mouse
mouse:Pfn1,mouse
mouse:S100a6,mouse
mouse:S100a4,mouse
mouse:Tubb4b,mouse
mouse:Csde1,mouse
mouse:Rps14,mouse
mouse:Gfod2,mouse
mouse:Cox6b1,mouse
mouse:Rpl10,mouse
mouse:Rpl30,mouse
mouse:Psmd8,mouse
mouse:Rpl27a,mouse
mouse:Sumo3,mouse
mouse:Pgrmc1,mouse
mouse:Rnf38,mouse
mouse:Rps12,mouse
mouse:Fstl1,mouse
mouse:Tomm7,mouse
mouse:Plec,mouse
mouse:Dmac1,mouse
mouse:Rgs2,mouse
mouse:Rpl22l1,mouse
mouse:Rpl4,mouse
mouse:Spcs1,mouse
mouse:Rpl18,mouse
mouse:Creb3l1,mouse
mouse:Nol7,mouse
mouse:Postn,mouse
mouse:Fabp1,mouse
mouse:Fabp5,mouse
mouse:Fabp4,mouse
mouse:Abhd17c,mouse
mouse:Fam117a,mouse
mouse:Amer2,mouse
mouse:Mvb12b,mouse
mouse:Zc2hc1a,mouse
mouse:Slf2,mouse
mouse:Fam20c,mouse
mouse:Fam219a,mouse
mouse:Fam32a,mouse
mouse:Bod1,mouse
mouse:Supt20,mouse
mouse:Garem2,mouse
mouse:Brinp2,mouse
mouse:Ripor2,mouse
mouse:Fam78a,mouse
mouse:Fasn,mouse
mouse:Fat1,mouse
mouse:Fat3,mouse
mouse:Fau,mouse
mouse:Ssr3,mouse
mouse:Prss23,mouse
mouse:Myl6b,mouse
mouse:Myl6,mouse
mouse:Synj1,mouse
mouse:Reep5,mouse
mouse:Rps3a1,mouse
mouse:Unc5c,mouse
mouse:Ggps1,mouse
mouse:Rpl23,mouse
mouse:Vps29,mouse
mouse:Fth1,mouse
mouse:Rps28,mouse
mouse:Chd9,mouse
mouse:Lonrf2,mouse
mouse:Tmsb4x,mouse
mouse:Fam162a,mouse
mouse:Phax,mouse
mouse:Eloc,mouse
mouse:Rpl39,mouse
mouse:Litaf,mouse
